title,company,location,remote_or_onsite,job_type,link,city
Full Stack Developer (Python/Golang + React),SecPod Careers,"Poland, ME",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=08236d9989f46d8b&bb=eBASZ_3Ej5EtiD5zhjNB4nGl6QzBxWytk1Ata6zyDxGj7kCCNpxzTj6HN4xNArW3q8ZGCoC__Geyv2guD9FoRvXEgq4nYu0IvSJvUoovPZ5X6eg811uEKdFG5yiMLKJU8xQijG3Io7X_wn0eHYWfCQ%3D%3D&xkcb=SoAg67M3vmx2VowpdB0LbzkdCdPP&fccid=4b42af4d254499dc&vjs=3,Berlin
CNC Programmer,Precinmac,"South Paris, ME 04281",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=e36c16ed04e2416f&bb=eBASZ_3Ej5EtiD5zhjNB4tC0KneJGzNboWK2lsf0EWbrStBLlCjS6qG40hp43t97YA1DIuPKHz4uwzluSeKMIJdVg1TnowYyJKR6Cj4iPPMEmgBWGPcxkDKTjRRMaZ-cDJkXBPaSbOteTbm0bcK50g%3D%3D&xkcb=SoCU67M3vmx2VowpdB0KbzkdCdPP&fccid=5b0e1643647ddb1a&vjs=3,Berlin
Senior Software Engineer - Runtime Sensor,Cast AI,"Remote in Poland, ME",Remote,Full-time,https://www.indeed.com/rc/clk?jk=1af17244f8aebffe&bb=eBASZ_3Ej5EtiD5zhjNB4iCpzSGrLkSf7xiZN5kxWnMdHrFfGDoIgFGfEKR7R6GRlgNdbDN8lmrKyJfsoKnELrE9VxuwmjDIU1ygm-WZ7QIhqCZvqDiLrg9B4Dcz5YRaTkrq7Kxn-9WaprCxlh77Lg%3D%3D&xkcb=SoAJ67M3vmx2VowpdB0JbzkdCdPP&fccid=b6b5d6a29e26e352&vjs=3,Berlin
"Fullstack Software Engineer L1, Senior Software Engineer L1",Gotransverse,"Hybrid work in Poland, ME",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=7389bb20864e4784&bb=eBASZ_3Ej5EtiD5zhjNB4tWn2EIz1FGibvsLpt4CQaOL-LhA5yOjGxBPvgCNRTHjDVOygbO3oZ_cZLWs2qQRndevstnuh_5QNivhXEuUwjyDlnrD44aCTWmFycwQ-J4ZfJCuQbgrq5EuMYEwHCPmSA%3D%3D&xkcb=SoC967M3vmx2VowpdB0IbzkdCdPP&fccid=de30abcfb49142bc&vjs=3,Berlin
DevOps Engineer,Solvd,"Poland, ME",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=8bb4d75235b4dfa1&bb=eBASZ_3Ej5EtiD5zhjNB4jtDCGPBuMLUUQVxw0AEkBuJRsI1ADrOVGdrt87RXQBRJUgwZnEzL0cLYWKrcb8u4UohEAamwhTB57SQrLZsjJbyg7kDrWZseZNtMNNvZdl9w1nWSMrfGirreU9RGnkFGw%3D%3D&xkcb=SoAz67M3vmx2VowpdB0PbzkdCdPP&fccid=8067b214fee4a2e7&vjs=3,Berlin
Game Protection Operator-Grant,Choctaw Nation,"Grant, OK",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=555ea5e56a71818f&bb=957Ia1Bpj3EL18Hyq3PiwM97sDd33RVpwwMAkrs_bIHxNldtiMDn0B3ZidooSBuzVstkF9LA2IW11i8aas909bmTS9x5z70MSp0UREsMtp-VJxmyQoOW-yGoxTt0LSLBv7B-NA8zSyPWNwp6UUXkfg%3D%3D&xkcb=SoAI67M3vmx1mtgHiT0JbzkdCdPP&fccid=0632142db71a761c&vjs=3,Paris
Java Developer - (REQUIRED -> Local only with direct NYS Agency experience),Cloud and Things Inc,"Hybrid work in Albany, NY 12202",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=9735204438128bf5&bb=H11LQYboJEHclQRWNar7MltokEucPxOYfyHEgNz1wMB1Lv56pSXUKNmy5w_T2IUaXYRlOjWOzCbzM6eBSJcNz-tebdg-ZplSLCZ6DQ8ylr4C-H8EYS_UTepX8qOHO8Y-KeoaluOGTNemq7eLuY1hfg%3D%3D&xkcb=SoBl67M3vmx1B0AOkr2EbzkdCdPP&fccid=ed7e1f9190dcfdd5&cmp=Cloud-and-Things&ti=Java+Developer&vjs=3,Amsterdam
Senior Software Engineer,New York ISO,"Rensselaer, NY 12144",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=f83d3e513c781ddc&bb=H11LQYboJEHclQRWNar7MqmThMue-VZ8y5SIwv-CwAlRyWTum2Susn8YXw_xM8xcaj4YIHBiVQlvWwFskFXmp3gppoaWJgonY2DpB15j8WKCOaL5PQOw8lpA_68hKhv6DaB52I9XXl4gw7Yx-jR16Q%3D%3D&xkcb=SoBC67M3vmx1B0AOkr2bbzkdCdPP&fccid=b3b20d478011703a&vjs=3,Amsterdam
QA Tester,Pat N Sally Inc,"Albany, NY 12229 
(Buckingham Lake-Crestwood area)",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=10982d0c91730edf&bb=H11LQYboJEHclQRWNar7MgLs5NSN_dvBOONX6SMMFMnMeObVGb96xiwMH9ynVcunFzO-g33jndunL6wnXaiSMD4nYijN9-3FL7gdPdsknPpfaqP68YHQdxbshYqHWywrNZia4VwmzAm4JlsgFcvVwQ%3D%3D&xkcb=SoD267M3vmx1B0AOkr2abzkdCdPP&fccid=cf0bb54ab5694cc8&cmp=Pat-N-Sally-Inc&ti=Quality+Assurance+Tester&vjs=3,Amsterdam
.NET Developer,Alpha Net Consulting LLC.,"Albany, NY",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=5d97963f50ab7a75&bb=H11LQYboJEHclQRWNar7MlecU9T5yXRcqE2vfgqGDo1MmH_QNOV_BcxMBxDo1Ivx15pfmg9ClTJGneY3E1QfmdnpoqyBTcCYxNl0jQkVjfk6096to_O5qdchMvutDkiXc4Gwrnjy8iDq18tcVMcaRQ%3D%3D&xkcb=SoBr67M3vmx1B0AOkr2ZbzkdCdPP&fccid=c3137e7baa48925a&vjs=3,Amsterdam
